CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,NPOPCHG2017,NPOPCHG2018,NPOPCHG2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019
47020,,,"Victoria, TX",Metropolitan Statistical Area,94003,94003,94102,94765,96447,97518,98548,99649,99914,99597,99466,99742,99,663,1682,1071,1030,1101,265,-317,-131,276,335,1323,1346,1368,1360,1430,1404,1369,1222,1247,168,783,887,839,863,892,912,929,894,897,167,540,459,529,497,538,492,440,328,350,22,75,65,40,95,75,73,54,23,24,-85,53,1133,494,440,492,-296,-814,-479,-95,-63,128,1198,534,535,567,-223,-760,-456,-71,-5,-5,25,8,-2,-4,-4,3,-3,-3
47220,,,"Vineland-Bridgeton, NJ",Metropolitan Statistical Area,156898,156627,156699,157043,156934,156098,156009,154712,153233,151423,150635,149527,72,344,-109,-836,-89,-1297,-1479,-1810,-788,-1108,562,2243,2149,2027,2013,2021,1920,1824,1822,1757,374,1437,1407,1461,1536,1559,1462,1659,1467,1435,188,806,742,566,477,462,458,165,355,322,63,324,209,282,345,441,491,400,561,74,-176,-785,-1059,-1715,-908,-2221,-2440,-2387,-1715,-1509,-113,-461,-850,-1433,-563,-1780,-1949,-1987,-1154,-1435,-3,-1,-1,31,-3,21,12,12,11,5
47260,,,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area,1713954,1713955,1717036,1723208,1734121,1741366,1750937,1756340,1758763,1760926,1763713,1768901,3081,6172,10913,7245,9571,5403,2423,2163,2787,5188,5670,23040,23216,22685,23130,23127,22831,22312,22017,21589,3188,13161,13046,13889,13696,14320,14412,14894,15179,15280,2482,9879,10170,8796,9434,8807,8419,7418,6838,6309,1233,2358,7545,4161,4801,5840,4691,3514,1011,1165,-721,-6065,-6807,-5670,-4580,-9240,-10693,-8730,-5026,-2197,512,-3707,738,-1509,221,-3400,-6002,-5216,-4015,-1032,87,0,5,-42,-84,-4,6,-39,-36,-89
47300,,,"Visalia, CA",Metropolitan Statistical Area,442179,442182,442969,446784,449779,452460,455138,457161,459235,462308,464589,466195,787,3815,2995,2681,2678,2023,2074,3073,2281,1606,1856,8152,8025,7765,7581,7508,7286,7207,7050,7032,648,2849,2810,2831,2831,2981,3048,3025,3245,3209,1208,5303,5215,4934,4750,4527,4238,4182,3805,3823,-114,-361,-348,-103,115,324,432,-25,-286,-270,-301,-1118,-1856,-2137,-2183,-2826,-2596,-1078,-1241,-1960,-415,-1479,-2204,-2240,-2068,-2502,-2164,-1103,-1527,-2230,-6,-9,-16,-13,-4,-2,0,-6,3,13
47380,,,"Waco, TX",Metropolitan Statistical Area,252772,252766,253808,255700,256938,258685,260376,262660,264829,268971,271427,273920,1042,1892,1238,1747,1691,2284,2169,4142,2456,2493,899,3596,3647,3615,3807,3839,3682,3569,3687,3646,435,2159,2155,2336,2219,2386,2258,2273,2474,2397,464,1437,1492,1279,1588,1453,1424,1296,1213,1249,39,180,242,261,397,405,407,306,232,161,520,287,-458,218,-259,456,351,2535,1021,1083,559,467,-216,479,138,861,758,2841,1253,1244,19,-12,-38,-11,-35,-30,-13,5,-10,0
47460,,,"Walla Walla, WA",Metropolitan Statistical Area,58781,58781,58915,59444,59329,59361,59510,59932,60008,60512,60615,60760,134,529,-115,32,149,422,76,504,103,145,161,686,685,675,680,686,668,644,605,610,122,515,521,556,564,607,596,618,584,575,39,171,164,119,116,79,72,26,21,35,19,6,6,13,73,34,11,2,-13,-15,80,352,-293,-90,-29,311,-3,475,96,128,99,358,-287,-77,44,345,8,477,83,113,-4,0,8,-10,-11,-2,-4,1,-1,-3
47580,,,"Warner Robins, GA",Metropolitan Statistical Area,167595,167626,168508,171561,173592,174689,175717,176293,178507,180163,182886,185409,882,3053,2031,1097,1028,576,2214,1656,2723,2523,581,2405,2417,2319,2299,2331,2345,2270,2303,2297,284,1260,1229,1238,1260,1369,1450,1491,1584,1567,297,1145,1188,1081,1039,962,895,779,719,730,73,142,467,403,276,448,441,244,182,152,488,1755,400,-386,-268,-841,888,638,1821,1647,561,1897,867,17,8,-393,1329,882,2003,1799,24,11,-24,-1,-19,7,-10,-5,1,-6
47900,,,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,5649540,5649688,5678491,5782319,5878942,5963312,6031945,6093950,6149301,6211341,6247841,6280487,28803,103828,96623,84370,68633,62005,55351,62040,36500,32646,20182,80453,80218,80701,80804,81902,81584,80755,79152,78147,7699,31456,31053,32931,32171,34034,33993,36379,37311,38763,12483,48997,49165,47770,48633,47868,47591,44376,41841,39384,7920,30177,40881,33537,41846,46158,39865,39462,24135,22977,7947,24461,6412,2991,-22363,-32317,-32268,-21842,-29581,-29748,15867,54638,47293,36528,19483,13841,7597,17620,-5446,-6771,453,193,165,72,517,296,163,44,105,33
47940,,,"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area,167819,167819,167920,168443,168811,169853,170450,170852,170110,169359,168936,168522,101,523,368,1042,597,402,-742,-751,-423,-414,523,2027,2052,2135,2114,2164,2125,2062,2120,2055,412,1475,1484,1538,1548,1557,1517,1679,1595,1564,111,552,568,597,566,607,608,383,525,491,35,263,189,387,461,351,346,362,210,211,-25,-285,-358,71,-405,-544,-1695,-1502,-1156,-1110,10,-22,-169,458,56,-193,-1349,-1140,-946,-899,-20,-7,-31,-13,-25,-12,-1,6,-2,-6
48060,,,"Watertown-Fort Drum, NY",Metropolitan Statistical Area,116229,116232,116592,117752,120235,118490,117971,116371,112980,113157,111866,109834,360,1160,2483,-1745,-519,-1600,-3391,177,-1291,-2032,493,2137,2199,2271,2095,2141,2001,2022,1898,1913,246,890,881,882,857,913,868,917,922,919,247,1247,1318,1389,1238,1228,1133,1105,976,994,129,118,1130,527,375,611,259,47,-118,-45,-4,-201,30,-3734,-2166,-3474,-4804,-972,-2147,-2981,125,-83,1160,-3207,-1791,-2863,-4545,-925,-2265,-3026,-12,-4,5,73,34,35,21,-3,-2,0
